,filename,mAP
181,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_50_55_000.jpg,0.1666666716337204
182,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_05_000.jpg,1.0
183,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_06_000.jpg,1.0
184,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_19_000.jpg,1.0
185,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_29_000.jpg,1.0
186,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_30_000.jpg,1.0
187,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_33_000.jpg,1.0
188,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_36_000.jpg,1.0
189,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_42_000.jpg,0.0
190,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_43_000.jpg,0.5
191,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_54_000.jpg,0.25
192,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_51_55_000.jpg,0.3333333432674408
193,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_52_04_000.jpg,1.0
194,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_52_14_000.jpg,0.3333333432674408
195,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_52_15_000.jpg,0.1666666716337204
196,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_52_18_000.jpg,1.0
197,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_52_20_000.jpg,1.0
198,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_52_26_000.jpg,0.8333333134651184
199,F:\Datasets\TFMTestRemake\OriginalInput\Arucas_frame_01_53_02_000.jpg,1.0
200,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_11_22_48_000.jpg,1.0
201,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_13_08_30_000.jpg,1.0
202,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_13_17_33_000.jpg,0.5
203,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_13_19_12_000.jpg,1.0
204,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_13_27_03_000.jpg,1.0
205,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_13_32_58_000.jpg,0.5
206,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_13_33_01_000.jpg,1.0
207,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_13_47_16_000.jpg,1.0
208,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_14_23_07_000.jpg,0.0
209,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_15_10_55_000.jpg,1.0
210,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_15_23_43_000.jpg,1.0
211,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_15_43_41_000.jpg,1.0
212,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_15_43_42_000.jpg,1.0
213,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_16_00_09_000.jpg,0.0
214,F:\Datasets\TFMTestRemake\OriginalInput\Ayagaures_frame_16_08_43_000.jpg,1.0
